time; movement_id; state
748.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
751.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
753.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
757.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
760.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
762.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
769.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
772.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
774.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
781.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
784.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
786.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
792.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
795.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
797.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
801.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
804.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
806.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
812.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
815.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
817.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
824.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
827.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
829.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
834.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
837.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
839.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
843.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
846.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
848.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
855.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
858.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
860.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
867.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
870.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
872.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
876.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
879.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
881.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
885.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
888.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
890.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
